kod;nazev;dilci_proces_kod;vykonava;spolupracuje;vnitrni_predpis;sekce;zdroj_radek
01-02-002-0001;Koordinace plnění úkolů resortních služebních úřadů;01-02-002;331;věcněpříslušné útvary XÚ, podřízené služební úřady;;3;6
07-08-009-0001;Koordinace a schvalování návrhů systemizace resortních služebních úřadů v ISX (modul MODA);07-08-009;331;odbor 11, sekce 6, podřízené služební úřady;;3;7
07-08-009-0002;Tvorba Organizačního řádu XÚ a metodická činnost k vydávání služebních předpisů a metodických pokynů státního tajemníka;07-08-009;331;věcně příslušné útvary XÚ;VP 01/2015, VP 02/2016;3;8
07-08-009-0003;Tvorba Služebního řádu XÚ;07-08-009;332;odbor 11;VP 03/2017;3;9
07-04-004-0001;Vyřizování stížností podle zákona o státní službě;07-04-004;332;věcněpříslušné útvary XÚ, podřízené služební úřady;"VP 04/2018; VP 03/2017; VP 05/2019";3;10
07-08-001-0001;Realizace správního řízení v záležitostech státní služby (vybrané úkoly prvoinstančního služebního orgánu a postupování odvolacímu služebnímu orgánu);07-08-001;332;odbor 11;;3;11
07-08-001-0002;Rozhodování státního tajemníka o odvoláních a v přezkumném řízení;07-08-001;332;podřízené služební úřady;;3;12
01-01-001-0001;Koordinace řízení kvality v XÚ;01-01-001;331;věcně příslušné útvary XÚ;"VP 06/2020; VP 07/2021";3;13
01-01-001-0002;Koordinace strategického řízení v XÚ;01-01-001;331;věcně příslušné útvary XÚ;"VP 08/2022; VP 09/2023";3;14
07-01-004-0001;Vyřizování žádostí XÚ jako povinným subjektem podle zákona č. 106/1999 Sb.;07-01-004;331;věcně příslušné útvary XÚ;VP 10/2024;3;15
07-01-004-0002;Rozhodování ministra o stížnostech na postup při vyřizování žádostí o informace podle zákona č. 106/1999 Sb.;07-01-004;332;;VP 10/2024;3;16
07-01-004-0003;Činnosti XÚ jako odvolacího orgánu podle zákona č. 106/1999 Sb. (rozhodování ŘO 33, kontrolní činnost vůči podřízeným služebním úřadům);07-01-004;331;věcně příslušné útvary XÚ;VP 10/2024;3;17
01-05-001-0001;Tvorba Interního protikorupčního programu XÚ;01-05-001;331;;VP 11/2015;3;18
01-05-002-0001;Tvorba a zajišťování Vnitřního oznamovacího systému XÚ pro podávání oznámení (korupce, obtěžování, zákon č. 171/2023 Sb.);01-05-002;331;;VOZ XÚ, VP 11/2015;3;19
07-04-004-0002;Koordinace vyřizování petic doručených XÚ;07-04-004;331;věcně příslušné útvary XÚ;VP 12/2016;3;20
01-05-003-0001;Průběžná aktualizace registru lobbovaných v XÚ v souladu se zákonem č. 168/2025 Sb.;01-05-003;331;věcně příslušné útvary XÚ;;3;21
07-04-004-0003;Metodická činnost pro vyřizování stížností podle správního řádu;07-04-004;332;věcně příslušné útvary XÚ;VP 12/2016;3;22
07-11-001-0001;Vyřizování žádostí o náhradu škody podle zákona č. 82/1998 Sb.;07-11-001;332;věcně příslušné útvary XÚ;;3;23
07-11-002-0001;Projednávání nároků fyzických osob při pracovních úrazech a nemocech z povolání (§ 364 odst. 4 – 6 zák. č. 262/2006 Sb.);07-11-002;332;Pojišťovna A a.s., Pojišťovna B a.s.;;3;24
07-11-002-0002;Koordinace odškodňování s pojišťovnami při pracovních úrazech a nemocech z povolání (§ 364 odst. 4 – 6 zák. č. 262/2006 Sb.);07-11-002;332;Pojišťovna A a.s., Pojišťovna B a.s.;;3;25
07-04-002-0001;Zastupování před soudy - správní žaloby s výjimkou soudních sporů týkajících se zaměstnanosti a inspekce práce;07-04-002;332;věcně příslušné útvary XÚ;;3;26
07-04-002-0002;Zastupování před soudy - civilní žaloby s výjimkou soudních sporů týkajících se veřejných zakázek a smluv;07-04-002;332;věcně příslušné útvary XÚ, podřízené služební úřady;;3;27
07-04-002-0003;Zastupování před soudy - žaloby ve věcech týkajících se řídícího orgánu nebo zprostředkujícího subjektu OPX/OPX+;07-04-002;332;sekce evropských fondů a mezinárodní spolupráce;;3;28
07-04-006-0001;Poskytování právní podpory při šetření záležitostí podezření ze spáchání protiprávního jednání ve služebním úřadu, jakož i vůči zaměstnancům XÚ, s výjimkou oblastí svěřených oddělení centrálních nákupů a právní podpory;07-04-006;332;věcně příslušné útvary XÚ;;3;29
07-04-005-0001;Poskytování právněkonzultační podpory útvarům sekce státního tajemníka;07-04-005;332;O11, odd. 331;;3;30
01-01-003-0001;příprava, zpracování a aktualizace materiálů (strategií, koncepcí, vnitřních řídicích aktů apod.) v rámci dílčího procesu Politika lidských zdrojů v působnosti personálního oddělení;01-01-003;111;;"SP Politika lidských zdrojů v XÚ; Služební řád XÚ; Pracovní řád XÚ; SP Strategie rozvoje služebního úřadu XÚ; SP Pravidla etiky státních zaměstnanců XÚ; PM Etický kodex zaměstnanců XÚ";3;31
01-01-003-0002;příprava, zpracování a aktualizace materiálů (strategií, koncepcí, vnitřních řídicích aktů apod.) v rámci dílčího procesu Politika lidských zdrojů v působnosti oddělení personálního rozvoje a metodik;01-01-003;113;;"SP Politika lidských zdrojů v XÚ; Služební řád XÚ; Pracovní řád XÚ; SP Strategie rozvoje služebního úřadu XÚ; SP Pravidla etiky státních zaměstnanců XÚ; PM Etický kodex zaměstnanců XÚ";3;32
01-01-003-0003;příprava a zpracování organizačního uspořádání XÚ;01-01-003;111;;SP, kterými se upravuje organizační struktura XÚ;3;33
01-01-004-0001;příprava a zpracování systemizace služebních a pracovních míst XÚ;01-01-004;111;;"SP o systemizaci nebo změně systemizace služebních a pracovních míst; SP o charakteristice systemizovaného služebního/ pracovního místa státních zaměstnanců a zaměstnanců XÚ";3;34
07-08-001-0003;personální marketing, práce s uchazeči o zaměstnání, stáže;07-08-001;113;;SP Průběh a realizace odborných stáží;3;35
07-08-001-0004;výběrová řízení;07-08-001;111;;"SP MV o údajích zveřejňovaných v rámci výběrových řízení; MP NST, kterým se stanoví podrobnosti k provádění výběrových řízení";3;36
07-08-001-0005;nástupy nových zaměstnanců, převedení státních zaměstnanců z jiných služebních úřadů;07-08-001;111;;"Služební řád XÚ; Pracovní řád XÚ";3;37
07-08-001-0006;adaptační proces;07-08-001;113;;SP Adaptační proces v XÚ;3;38
07-08-001-0007;slaďování rodinného a osobního života zaměstnanců;07-08-001;111;;"Služební řád XÚ; Pracovní řád XÚ; SP pro sladění rodinného a osobního života s výkonem státní služby; SP, kterým se stanoví pružné rozvržení služební doby; PM Zásady režimu pružné pracovní doby na XÚ";3;39
07-08-001-0008;změny a skončení služebních/pracovních poměrů;07-08-001;111;;"Služební řád XÚ; Pracovní řád XÚ; MP MV, kterým se stanoví podrobnosti ke změnám služebního poměru; MP MV, kterým se stanoví podrobnosti ke skončení služebního poměru";3;40
07-08-001-0009;správa dohod o pracovní činnosti a dohod o provedení práce;07-08-001;111;;"Pracovní řád XÚ; Instrukce Postup schvalování a uzavírání dohod o pracích konaných mimo pracovní poměr na XÚ";3;41
07-08-002-0001;nastavení a zpracování personálních a platových ukazatelů, statistik, výkazů, přehledů apod., analýzy a predikce dat;07-08-002;111;;;3;42
07-08-004-0001;stanovování platů;07-08-004;111;;"Služební řád XÚ; Pracovní řád XÚ; SP, kterým se stanoví pravidla pro nastavení výše příplatků za vedení na XÚ; SP, kterým se stanoví pravidla pro určení výše zvláštních příplatků na XÚ; SP o označení klíčových služebních systemizovaných míst na XÚ a určení zvýšeného platového tarifu";3;43
07-08-004-0002;zpracování výplat, mzdové účetnictví;07-08-004;111;;"PM Zásady řídící kontroly v podmínkách XÚ; PM Oběh účetních dokladů na XÚ";3;44
07-08-003-0001;příprava rozpočtů, predikce čerpání, přehled skutečného čerpání;07-08-003;111;;"PM Zásady řídící kontroly v podmínkách XÚ; PM Oběh účetních dokladů na XÚ";3;45
07-08-005-0001;kolektivní dohoda, kolektivní smlouva, FKPS a benefity;07-08-005;111;;"Služební řád XÚ; Pracovní řád XÚ; Kolektivní dohoda XÚ; Kolektivní smlouva XÚ";3;46
07-08-005-0002;šetření spokojenosti zaměstnanců, výstupní dotazník;07-08-005;113;;MP ST Šetření spokojenosti zaměstnanců;3;47
07-08-007-0001;gestorství úřednických zkoušek v oborech státní služby spadajících pod XÚ;07-08-007;113;;SP NST o provádění a organizaci úřednických zkoušek;3;48
07-08-007-0002;realizace úřednických zkoušek;07-08-007;113;;"SP NST o provádění a organizaci úřednických zkoušek; SP, kterým se vydává jednací řád zkušebních komisí ÚZ v resortu XÚ";3;49
07-08-006-0001;nastavení, příprava a realizace metodik a aktivit v oblasti hodnocení zaměstnanců;07-08-006;113;;"SP, kterým se stanoví postup při realizaci a zabezpečení průběhu služebního hodnocení státních zaměstnanců XÚ a vedoucích služebních úřadů v resortu XÚ; SP NST, kterým se stanoví postup při provádění služebního hodnocení státních zaměstnanců";3;50
07-08-008-0001;nastavení, příprava a realizace metodik a aktivit v oblasti vzdělávání a rozvoje zaměstnanců;07-08-008;113;;"SP, kterým se stanoví Rámcová pravidla vzdělávání na XÚ; SP, kterým se stanoví Rámcová pravidla jazykového vzdělávání zaměstnanců XÚ";3;51
